coin_page,coin_page-href,ric_id,personality,date,mint,ob_legend,ob_type,re_legend,re_type,brickendonbury,bristol,caistor_by_yarmouth,cambridge,darfield,darfield_2,denbighshire,east_england,edston_peebles_shire,falkirk,muswell_hill,shapwick_villa,st_mary_cray,stevenage,region_a,ain,baden_baden,clavier_3,eauze,eining,elliginies_saint_anne,kempten_lindenberg_3,kirchmatting,koln,mainz,nanterre,niederaschau,pfunz,viuz_faverges,welzheim,wiesbach,wiggensbac,region_b,via_tritone,vicenza,region_c,barza,borgondi,ercsi,francesti,ghirisa,gracic,gunzenhausen,kongen,leskovec,linsberg,muntenesti,nicolaevo,plevna,postojna,reka_devnia,rustschuk,singidunum,taga,uskub,region_d,dura_hoards _3_and_4,haydere,kecel,south_east_turkey,syria,region_e
"1203","http://web3.forest.usf.edu/main/other/severan/coins/1203/","SA RIC 73","Severus Alexander","228","Rome","IMP C M AVR SEV ALEXAND AVG","Head right, laureate bust draped.","P M TR P VII COS II P P","Mars walking right, carrying spear and trophy.","1","0","0","0","1","0","0","0","0","0","0","0","0","2","4","0","0","0","5","0","1","0","2","0","0","0","0","0","0","0","1","3","12","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","72","0","0","0","0","73","0","1","0","1","0","2"
"848","http://web3.forest.usf.edu/main/other/severan/coins/848/","G RIC 92","Geta","210-212","Rome","P SEPT GETA PIVS AVG BRIT","Head, laureate, bearded, right.","VICTORIAE BRIT","Victory, half-naked, standing left, holding wreath and palm.","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","20","0","0","0","0","0","0"
"181","http://web3.forest.usf.edu/main/other/severan/coins/181/","C RIC 163A","Caracalla","206-210","Rome","ANTONINVS PIVS AVG","Head, laureate, right.","PLAVTILLA AVGVSTA","Bust, draped, right.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1734","http://web3.forest.usf.edu/main/other/severan/coins/1734/","SS RIC 443A","Septimius Severus","193","Eastern","L SEPT SEV PERT AVG IMP I","Head, laureate, right","MART VICTORI","Mars advancing, right, holding spear and trophy","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"419","http://web3.forest.usf.edu/main/other/severan/coins/419/","E RIC 12","Elagabalus","219","Rome","IMP CAES M AVR ANTONINVS AVG","Head right, radiate, bust draped. (Variant: Head, right, radiate, bust draped and cuirassed.)","P M TR P II COS II P P","Roma seated left, holding Victory and spear; by her side, shield.","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","1","2","0","0","0","0","1","0","0","0","0","3","0","1","0","9","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","7","0","0","0","0","9","0","0","0","0","0","0"
"1539","http://web3.forest.usf.edu/main/other/severan/coins/1539/","SA RIC 299","Severus Alexander","UNDATED","Eastern","IMP C M AVR SEV ALEXAND AVG","Head right, laureate bust draped and cuirassed.","SECVLI FELICITAS","Felicitas standing left, holding patera and long caduceus; on left, modius and corn-ears.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1245","http://web3.forest.usf.edu/main/other/severan/coins/1245/","SA RIC 15","Severus Alexander","222","Rome","IMP CAES M AVR SEV ALEXANDER AVG","Head right, laureate bust draped and cuirassed.","P M TR P COS P P","Emperor in quadriga right, holding branch and eagle tipped sceptre.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"853","http://web3.forest.usf.edu/main/other/severan/coins/853/","G RIC 96","Geta","UNDATED (198-200)","Eastern","L SEPTIMIVS GETA CAES","Bust, draped, head bare, right.","SPEI PERPETVAE","Spes advancing left, holding flower and raising skirt.","0","1","0","1","0","0","0","0","0","0","0","13","0","0","15","0","0","0","0","0","1","0","0","1","0","0","0","0","3","0","0","0","5","1","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","30","2","1","0","0","35","0","0","0","2","0","2"
"1292","http://web3.forest.usf.edu/main/other/severan/coins/1292/","SA RIC 60","Severus Alexander","227","Rome","IMP C M AVR SEV ALEXAND AVG","Head right, laureate bust draped. (Variant: Head right, laureate bust draped and cuirassed.)","P M TR P VI COS II P P","Mars walking right, carrying spear and trophy.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"962","http://web3.forest.usf.edu/main/other/severan/coins/962/","E RIC 215","Julia Paula","Undated","Eastern","IVLIA PAVLA AVG","Bust right, draped.","CONCORDIA AETERNA","Elagabalus and Julia Paula standing, with clasped hands; between them Concordia standing.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
