coin_page,coin_page-href,id_number,region,city,cabinet,catref,date_range,local_date,magistrate,alliance_coin,ob_inscription,ob_type,re_inscription,re_type,metal,average_diameter,average_die_axis,average_weight,notes,obverse-src,reverse-src,monogram_ob1-src,monogram_re1-src,monogram_ob2-src,monogram_re2-src
"2312","http://web3.forest.usf.edu/main/other/severan/spc/2312/","2312","Asia Minor","Tarsus","France","1532","198-217","","","","AVT KAI M AVP CEVHPOC ANTΩΝΕΙΝOC CEB Π Π","Bust of Caracalla l., dressed as a demiurge","[ANTΩΝΙΑΝ]ΗC CEVHP AΔΡ MHT] TAPCOV AMK","A lunar goddess, with a crescent on her shoulders, holding a torch, standing in a galloping biga drawn by hump-backed bulls to l.","AE","","","19.84","R. Same coin as n. 1502.","http://web3.forest.usf.edu/main/other/severan/images/db/2312a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2312b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2312c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2312d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2312e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2312f.jpg"
"2300","http://web3.forest.usf.edu/main/other/severan/spc/2300/","2300","Asia Minor","Tarsus","France","1520","198-217","","","","AVT KAI M AVP CEVHPOC ANTΩΝΕΙΝOC CEB Π Π","Laur. bust of Caracalla r.","ANTΩΝΙΑΝΗC CEV MHTΡ TAPCOV AMK ΓΒ","Heracles lifting Antaeus; to l., a club decorated by a lion skin","AE","","","16.76","","http://web3.forest.usf.edu/main/other/severan/images/db/2300a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2300b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2300c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2300d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2300e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2300f.jpg"
"2701","http://web3.forest.usf.edu/main/other/severan/spc/2701/","2701","Asia Minor","Anazarbus","Levante","1424","218-222","","","","AVT K M AVP ANTΩΝΕΙΝΟC CEB","Bust of Elagabalus, laur.","ANAZAP MHTPO Α.Μ.Κ.","Three prize-crowns on three lion’s legged agnostic table","AE","","","14.93","Cf. Ziegler, Prestige, 39, B31.","http://web3.forest.usf.edu/main/other/severan/images/db/2701a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2701b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2701c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2701d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2701e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2701f.jpg"
"2619","http://web3.forest.usf.edu/main/other/severan/spc/2619/","2619","Asia Minor","Tarsus","Levante","1084","218-222","","","","AVT K M AV ANTΩΝΕΙΝOC","Head of Elagabalus, laur.","TAPCOV AMK","","AE","","","3.60","Obv. Bust","http://web3.forest.usf.edu/main/other/severan/images/db/2619a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2619b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2619c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2619d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2619e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2619f.jpg"
"2086","http://web3.forest.usf.edu/main/other/severan/spc/2086/","2086","Asia Minor","Stratonicea","Hunterian","1898","193-211","","ΛΕΟΝΤΟC ΤΟΥ ΑΛΚΑΙΟΥ","Convention of Alabanda","AY KAI ΛΟΥ CΕΠ CΕΥΗΡΟC IOY ΔΟΜΝΑ","laureate bust of Septimius Severus right, with cuirass and paludamentum, facing draped bust of Julia Domna left","EΠΙ ΠPΥ ΑΕΟΝΤΟC ΤΟΥ [ΑΛΚΑΙΟΥCT] ΡΑΤΟΝΙΚΕΩΝ","Hecate, with torch, standing left, holding patera over lighted and garlanded altar","AE","","6","18.85","obv. cmks. (i) Helmeted head of Athena (Roma), right (GIC 188); (ii) ΘΕΟΥ (GIC 536); M. 2, 428, 4 (rev. pl. 54.13)","http://web3.forest.usf.edu/main/other/severan/images/db/2086a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2086b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2086c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2086d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2086e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2086f.jpg"
"2403","http://web3.forest.usf.edu/main/other/severan/spc/2403/","2403","Asia Minor","Αnazarbus","France","2046","204/205","223","","","AVT K Λ CEΠ CEOVHPOC ΠΕΡT","Laur. bust of Septimius Severus r.","CEVHPIANHC ANAZAPBOV MHTPOΠΟΛΕΩC ΕΤ ΓΚC; ΚΙΛΙΚΑΡΧΙΑC; ΓΒ","Crown of the Cilicarch inscribed with KIΛΙΚΑΡΧΙΑC, decorated with three imperial heads and ΓΒ","AE","","","25.22","Wadd. 4637. - Ziegler, Prestige 78, n. 74 (pl. 10, 87); id., Anazarbos, 306, 1.","http://web3.forest.usf.edu/main/other/severan/images/db/2403a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2403b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2403c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2403d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2403e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2403f.jpg"
"2417","http://web3.forest.usf.edu/main/other/severan/spc/2417/","2417","Asia Minor","Αnazarbus","France","2060","218-222","","","","AV K M AV ANTΩΝΕΙΝΟC CE","Laur. bust of Elagabalus r.","ΙΕΡΟC OIKOVMENIKOC ANAZAP AMK","Naked athlete standing face forward, holding a palm and sticking his hand in a vase","AE","","","11.66","Babelon, ASFN 7, p. 25, pl. II, 7. - Gaebler ZfN 39 (1929), 280, 9. - Ziegler, Prestige 38, B25; id., Anazarbos 418, 1. For AMK, cf. the n. 1494 (Tarsus).","http://web3.forest.usf.edu/main/other/severan/images/db/2417a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2417b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2417c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2417d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2417e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2417f.jpg"
"2418","http://web3.forest.usf.edu/main/other/severan/spc/2418/","2418","Asia Minor","Αnazarbus","France","2061","218-222","","","","AV K M AV ANTΩΝΕΙΝΟC CE","Laur. bust of Elagabalus r.","ANAZAPBOV MHTPO AMK","She-wolf r. nourishing the Twins; behind, a tree (fig?)","AE","","","9.96","Wadd. 4122. - Same coins as SNG Levante 1425. - Ziegler, Anazarbos, 416, 3.","http://web3.forest.usf.edu/main/other/severan/images/db/2418a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2418b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2418c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2418d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2418e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2418f.jpg"
"2470","http://web3.forest.usf.edu/main/other/severan/spc/2470/","2470","Asia Minor","Smyrna","Righetti","910","217","","","","IOV ΔΟΜΝΑ - CEBACTH","draped bust of Julia Domna, r.","EΠ CTP KΛ Α - PIC - TOΦΑΝΟVC/CMVPNAI/ΩΝ","Two Nemesis standing face to face","AE","25.7 mm","12","7.372 g","SNG Cop 1380; SNG Aulock 2218; Klose 274, 6;","http://web3.forest.usf.edu/main/other/severan/images/db/2470a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2470b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2470c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2470d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2470e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2470f.jpg"
"2686","http://web3.forest.usf.edu/main/other/severan/spc/2686/","2686","Asia Minor","Anazarbus","Levante","1409","204/205","223","","","AVT K M AVPHΛ ΑΝΤWNEINOC...","Bust of Caracalla, laur.","CEVHPIANHC ANAZAPBOV MHTPOΠΟΛΕWC ΒΓ ΕΤ ΓΚC","Nike in biga, holding bridle and palm-branch","AE","","","25.15","","http://web3.forest.usf.edu/main/other/severan/images/db/2686a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2686b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2686c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2686d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2686e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2686f.jpg"
"2220","http://web3.forest.usf.edu/main/other/severan/spc/2220/","2220","Asia Minor","Ephesus","Righetti","854","218-222","","","","AVT K M AVΡ ANTΩNεINOC","curiate bust of Elagabalus wearing paludamentum on back, laureate, facing right","εΦε - CIΩN Δ / NεΩKOΡΩN","Ship with oarsmen, facing right.","AE","22.4mm","4","4.707g","Obverse possibly unedited variation of SNG Cop 445;","http://web3.forest.usf.edu/main/other/severan/images/db/2220a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2220b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2220c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2220d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2220e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2220f.jpg"
"2272","http://web3.forest.usf.edu/main/other/severan/spc/2272/","2272","Asia Minor","Tarsus","France","1492","198-217","","","","AVT KAI M AVP CEΟVHPOC ANTΩΝΕΙΝOC ... Π","Laur. head of Caracalla R.","ΑΔΡΙ CEΟVHPΙ ANTΩNEINOVΠOΛΙ... TAPCOV ΓΒ ΚΟΙΝΟΒΟVΛΙΟΝ","Koinoboulion holding a cornucopia, standing L., between two small temples","AE","","","23.68","Wadd. 4647.","http://web3.forest.usf.edu/main/other/severan/images/db/2272a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2272b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2272c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2272d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2272e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2272f.jpg"
"3811","http://web3.forest.usf.edu/main/other/severan/spc/3811/","3811","Africa","Alexandria","Copenhagen","599","218-222","","","","AKAICAPMAVPANTΩNINOCEVCEB","Head r., laureate of Elagabalus","","Nike r., holding wreath and palm","","","","12.79g","Ramus 5 (Caracalla)","http://web3.forest.usf.edu/main/other/severan/images/db/3811a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/3811b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/3811c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/3811d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/3811e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/3811f.jpg"
"2223","http://web3.forest.usf.edu/main/other/severan/spc/2223/","2223","Asia Minor","Ephesus","Righetti","857","222-235","","","","AVT K M AVΡ AΛ - εΞANΔΡOC AVΓ","curiate bust of Severus Alexander wearing paludamentum, laureate facing right.","εΦεCIΩN Δ N - εΩKOΡΩN","Nike standing facing right, round shield hanging from palm; left foot stepping on helmet. In left field a star.","AE","36.5mm","6","23.466g","BMC 318;","http://web3.forest.usf.edu/main/other/severan/images/db/2223a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2223b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2223c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2223d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2223e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2223f.jpg"
"2070","http://web3.forest.usf.edu/main/other/severan/spc/2070/","2070","Asia Minor","Samos","Hunterian","1786","222-235","","","Convention of Miletus","AYT K M AYP AΛΕΖΑΝΔΡΟC","Laur. bust of Severus Alexander r., with cuirass and paludamentum","CAMIΩΝ","Androclus standing r. spearing boar","AE","","6","11.16","SNG Cop. 1747
M. 2, 407, 19","http://web3.forest.usf.edu/main/other/severan/images/db/2070a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2070b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2070c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2070d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2070e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2070f.jpg"
"2453","http://web3.forest.usf.edu/main/other/severan/spc/2453/","2453","Asia Minor","Αnazarbus","France","2096","230/231","249","","","AVT K MA AV CE AΛΕΞΑΝΔΡΟC CEB","Laur. bust of Severus Alexander r.","ANAZAPB(symbol) M(symbol)PO ET ΘMC","Nike standing in a biga walking r.","AE","","","12.67","Symbols from Rev. legend found below in Monograms RE1 and RE2
Ziegler, Anazarbos, 603,1.","http://web3.forest.usf.edu/main/other/severan/images/db/2453a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2453b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2453c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2453d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2453e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2453f.jpg"
"2363","http://web3.forest.usf.edu/main/other/severan/spc/2363/","2363","Asia Minor","Tarsus","France","1583","222-235","","","","AV K CEOVHPOC AΛΕΞΑΝΔΡ Π Π","Laur. bust of Severus Alexander r.","ΑΔΡ CEOV ΑΛ[Ε]ΞΑΝ ΜΗΤ ΤΑΡ AMK ΓΒ","Bust of Tyche wearing a turreted crown and veil r.","AE","","","26.44","","http://web3.forest.usf.edu/main/other/severan/images/db/2363a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2363b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2363c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2363d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2363e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2363f.jpg"
"2296","http://web3.forest.usf.edu/main/other/severan/spc/2296/","2296","Asia Minor","Tarsus","France","1516","198-217","","","","AVT KAI M AVP CEVHPOC ANTΩΝΕΙΝOC CEB Π Π","Laur. bust of Caracalla r.","ANTΩΝΙΑΝΗC CEV AΔΡ MHT TAPCOV AMK ΓΒ","Lion moving r.","AE","","","18.02","Rev. Same coin as SNG Levante 1052.","http://web3.forest.usf.edu/main/other/severan/images/db/2296a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2296b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2296c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2296d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2296e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2296f.jpg"
"2575","http://web3.forest.usf.edu/main/other/severan/spc/2575/","2575","Asia Minor","Tarsus","Levante","1040","198-217","","","","AVT Κ M AVP CEOVHPOC ANTWΝEΙΝOC","Bust of Caracalla, radiate","ΔΗΜΙΟVPΓΕΙΑ ΤΑPCEWN","Demiourgia crowning Caracalla who rests on scepter","AR","","","5.00","III. Silver coinage with the title ΑΝΤΩΝ(ΕΙΝ)ΙΑΝΗ, abbreviation of the new city titulature, AMK, mention of the gifts and privileges; to be connected with Caracalla’s presence in Tarsus in 215. 
Ex Mabbott, 2222, ΔΗΜΙΟVPΓΕΙΑ  stands for the office of the","http://web3.forest.usf.edu/main/other/severan/images/db/2575a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2575b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2575c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2575d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2575e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2575f.jpg"
"2062","http://web3.forest.usf.edu/main/other/severan/spc/2062/","2062","Asia Minor","Samos","Hunterian","1779","161-180","","","Convention of Miletus","ΑΥΤ ΚΑΙ Μ ΑΥ ΑΝΤΩΝΕΙΝΟC","Laur. head of Marcus Aurelius r.","CAMIΩΝ","Cult statue of Hera of Samos standing r.","AE","","6","2.84","cf. SNG Cop. 1734
M. 2, 406, 12","http://web3.forest.usf.edu/main/other/severan/images/db/2062a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2062b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2062c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2062d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2062e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2062f.jpg"
"2617","http://web3.forest.usf.edu/main/other/severan/spc/2617/","2617","Asia Minor","Tarsus","Levante","1082","218-222","","","","AVT KA M AVP ANTΩΝΕΙΝOC","Bust of Elagabalus, laur.","TAPCOV MHTPO","Apollo Lykeios on omphalos, holding in each hand wolf by forelegs; on either side, star","AE","","","8.08","","http://web3.forest.usf.edu/main/other/severan/images/db/2617a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2617b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2617c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2617d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2617e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2617f.jpg"
"2268","http://web3.forest.usf.edu/main/other/severan/spc/2268/","2268","Asia Minor","Tarsus","France","1488","198-217","","","","AVT K [M AV CEOVH] ANTΩNEINOC CEB Π Π","Laur. bust of Caracalla L., with a spear and a shield decorated by the head of a Gorgon","ΑΔΡ CEOVHP ANTΩNEINOVΠΟΛ MHTPO TAPCOV ΓΒ ΚΟΙΝΟΒΟVΛΙΟΝ","Koinoboulion sitting L., holding a cornucopia and depositing her votes in an urn; to L., a tree.","AE","","","23.29","b) Utilizing the title ANTΩNEINOVΠΟΛΙC (212/15)
SNG Levante 1034.- Koinoboulion (=reunion of the provincial assembly)","http://web3.forest.usf.edu/main/other/severan/images/db/2268a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2268b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2268c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2268d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2268e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2268f.jpg"
"2574","http://web3.forest.usf.edu/main/other/severan/spc/2574/","2574","Asia Minor","Tarsus","Levante","1039","198-217","","","","AV Κ M AVP CEOVHP ANTΩΝΙΝOC CE","Head of Caracalla, laur.","TVXH TAPCOV MHT AMK","City-goddess seated, holding uncertain object; at her feet, river-god Kydnos swimming","AR","","","6.87","III. Silver coinage with the title ΑΝΤΩΝ(ΕΙΝ)ΙΑΝΗ, abbreviation of the new city titulature, AMK, mention of the gifts and privileges; to be connected with Caracalla’s presence in Tarsus in 215. 
The letters AMK stand for “ΠΡΩΤΗ ΜΕΓΙΣΤΗ ΚΑΛΛΙCTH” (= first,","http://web3.forest.usf.edu/main/other/severan/images/db/2574a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2574b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2574c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2574d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2574e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2574f.jpg"
"2284","http://web3.forest.usf.edu/main/other/severan/spc/2284/","2284","Asia Minor","Tarsus","France","1504","198-217","","","","AVT KAI M AVP CEVHPOC ANTΩΝΕΙΝOC CEB Π Π","Laur. bust of Caracalla R.","...NH...CEVH AΔΡ ΜΗΤ ΤΑΡCOV AMK ΓΒ","Helios, radiated-head and nude, standing r., holding a globe, raising r. hand","AE","","","32.34","Same coins as SNG Levante 1044.","http://web3.forest.usf.edu/main/other/severan/images/db/2284a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2284b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2284c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2284d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2284e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2284f.jpg"
"2415","http://web3.forest.usf.edu/main/other/severan/spc/2415/","2415","Asia Minor","Αnazarbus","France","2058","217-218","","","","M OΠ ΑΝΤΩΝΙ ΔΙΑΔΟVMENIANOC K","Bust of Diadumenianus r.","ΑΝΑΖΑΡΒΟV ΜΗΤΡΟΠΟΛΕ ΓΒ","Nike, holding a trophy, in a biga moving at a walking pace to r.","AE","","","14.84","Delpierre. - Ziegler, Anazarbos, 332, 3.","http://web3.forest.usf.edu/main/other/severan/images/db/2415a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2415b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2415c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2415d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2415e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2415f.jpg"
"2572","http://web3.forest.usf.edu/main/other/severan/spc/2572/","2572","Asia Minor","Tarsus","Levante","1037","198-217","","","","AVT.Κ.M.AVP.CEOVHPOC.ANTΩΝEΙΝOC Π Π","Head of Caracalla, laur.","ΚΟΙΝΟΒΟVΛΙΟΝ ΕΛΕVΘΕΡΟΝ ΤΑΡCEWN","Pallas Athena seated, resting on shield and throwing pebble in vase over altar","AR","","","6.65","III. Silver coinage with the title ΑΝΤΩΝ(ΕΙΝ)ΙΑΝΗ, abbreviation of the new city titulature, AMK, mention of the gifts and privileges; to be connected with Caracalla’s presence in Tarsus in 215. 
Pallas Athena represents the Provincial Assembly which meeti","http://web3.forest.usf.edu/main/other/severan/images/db/2572a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2572b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2572c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2572d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2572e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2572f.jpg"
"2510","http://web3.forest.usf.edu/main/other/severan/spc/2510/","2510","Asia Minor","Tarsus","Righetti","1662","198-217","","","","AVT KAI M AVP CEVHPOC ANTΩΝΕΙΝΟC/Π-Π","draped bust of Caracalla with demiurge crown, r.","ΑΝΤΩΝΕΙΝΙΑΝΗC CEVH AΔΡΙΑ/ΤΑΡCOV/ΓΒ/ΟΜΑΚΚ","Elephant l.; above a demiurge crown.","AE","34.7 mm","5","21.509 g","Possibly unedited variation of above 1661;","http://web3.forest.usf.edu/main/other/severan/images/db/2510a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2510b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2510c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2510d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2510e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2510f.jpg"
"2591","http://web3.forest.usf.edu/main/other/severan/spc/2591/","2591","Asia Minor","Tarsus","Levante","1056","198-217","","","","","Bust of Caracalla, laur.; legend blundered","ΑΝΤΩΝΙΑΝΗC CEVH AΔΡ ΜΗΤ ΤΑΡCOV ΔΕΚ","Emperor, holding spear, parazonium and chlamys, at r. trophy decorated with cuirass and stern of galley and supported by two Parthian captives wearing pointed caps","AE","","","16.05","","http://web3.forest.usf.edu/main/other/severan/images/db/2591a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2591b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2591c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2591d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2591e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2591f.jpg"
"2587","http://web3.forest.usf.edu/main/other/severan/spc/2587/","2587","Asia Minor","Tarsus","Levante","1052","198-217","","","","AVT ΚAI M AVP CEVHPOC ANTΩΝEΙΝOC CEB ΠΠ","Head of Caracalla, laur.; below, star","ANTΩΝΙΑΝΗC CEV AΔΡ ΜΗΤ ΤΑΡCOV ΑΜΚ ΓΒ","Lion","AE","","","19.96","","http://web3.forest.usf.edu/main/other/severan/images/db/2587a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2587b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2587c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2587d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2587e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2587f.jpg"
"2311","http://web3.forest.usf.edu/main/other/severan/spc/2311/","2311","Asia Minor","Tarsus","France","1531","198-217","","","","AVT KAI M AVP CEVHPOC ANTΩΝΕΙΝOC CEB Π Π","Bust of Caracalla l., dressed as a demiurge","ANTΩΝΙΑΝΗC CEVΗ AΔΡ MHΤ TAPCOV AMK ΓΒ; CEIT...","Galley with a sail l.","AE","","","26.08","Cf. Waddington, <>, BCH 7, p. 289.","http://web3.forest.usf.edu/main/other/severan/images/db/2311a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2311b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2311c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2311d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2311e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2311f.jpg"
"4290","http://web3.forest.usf.edu/main/other/severan/spc/4290/","4290","","","von Aulock","6020","","","","","","","","","","","","","TEXT IMAGE ILLEGIBLE","http://web3.forest.usf.edu/main/other/severan/images/db/4290a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/4290b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/4290c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/4290d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/4290e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/4290f.jpg"
"1964","http://web3.forest.usf.edu/main/other/severan/spc/1964/","1964","Asia Minor","Ephesus","Lewis","1451","217-218","","","Conventus of Ephesus","ΑYτ Κ Μ Οπε Cεο Μακρεινοc","Bust of Macrinus laureate right","Εφεcιων Πρωτων Αcιαc","Zeus seated l., holding statuette of Artemis Ephesia and scepter","AE","","6","12.24","Countermark Γ.","http://web3.forest.usf.edu/main/other/severan/images/db/1964a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/1964b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/1964c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/1964d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/1964e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/1964f.jpg"
"2425","http://web3.forest.usf.edu/main/other/severan/spc/2425/","2425","Asia Minor","Αnazarbus","France","2068","218-222","","","","AVT K M AV ANTΩΝΕΙΝΟC CEB","Radiate head of Elagabalus r.","ANAZAP MHTPOΠ ΑΜΚ ΓΒ","Hygia standing r., nourishing a serpent with a patera","AE","","","5.84","Wadd. 4137. - Ziegler, Anazarbos, 368, 2.","http://web3.forest.usf.edu/main/other/severan/images/db/2425a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2425b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2425c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2425d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2425e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2425f.jpg"
